동대문구,Date
65.45565064876601,2023-01-01
34.37525978281857,2023-02-01
48.486332420312245,2023-03-01
86.73080841317638,2023-04-01
91.15283587408987,2023-05-01
66.58101290356278,2023-06-01
89.41667860169719,2023-07-01
54.08655389604956,2023-08-01
84.38336028911993,2023-09-01
75.98922305290236,2023-10-01
71.22883676318419,2023-11-01
54.54913145311597,2023-12-01
40.70454104845091,2024-01-01
11.599005460582973,2024-02-01
52.00281261001696,2024-03-01
35.97100665930989,2024-04-01
52.91914309964379,2024-05-01
60.867260491576,2024-06-01
43.453961966919536,2024-07-01
68.75994296687404,2024-08-01
29.270127596132177,2024-09-01
51.648834091489746,2024-10-01
33.01484004869576,2024-11-01
45.84379661984109,2024-12-01
9.392998128208038,2025-01-01
-26.130694586928787,2025-02-01
15.46565592606143,2025-03-01
17.45368099685112,2025-04-01
30.566505485077414,2025-05-01
27.549800945454738,2025-06-01
23.585495704671878,2025-07-01
28.52581352331462,2025-08-01
12.183493484591537,2025-09-01
24.54713681473923,2025-10-01
10.575204521056168,2025-11-01
13.516179555119676,2025-12-01
-15.520744709857516,2026-01-01
-48.7410845542401,2026-02-01
-20.978779372287068,2026-03-01
-0.8932026662413577,2026-04-01
8.04323992605657,2026-05-01
-5.8169033107658965,2026-06-01
3.6375058247081515,2026-07-01
-11.638761267996117,2026-08-01
-4.712467761518292,2026-09-01
-2.607986100050981,2026-10-01
-11.955237896609184,2026-11-01
-18.853449603618458,2026-12-01
