¼ººÏ±¸,Date
-0.7670626167208325,2023-01-01
-1.2673089929333534,2023-02-01
-0.8860939876613045,2023-03-01
1.407646641444239,2023-04-01
6.69377141293736,2023-05-01
3.9124789732863547,2023-06-01
16.237322882224856,2023-07-01
18.147866923455073,2023-08-01
-22.37862762474083,2023-09-01
20.169542251844803,2023-10-01
13.459158826393086,2023-11-01
10.948405612544018,2023-12-01
-6.921102907442672,2024-01-01
-6.488591427171043,2024-02-01
0.44244578275989666,2024-03-01
1.8550727064751706,2024-04-01
-5.835086097417294,2024-05-01
2.5445728446592635,2024-06-01
-2.171360123335655,2024-07-01
-1.9320243731300555,2024-08-01
37.202059475942086,2024-09-01
-10.261016336894098,2024-10-01
1.7962055163892483,2024-11-01
-6.073194724441027,2024-12-01
-3.3606134110579577,2025-01-01
-5.447610806421589,2025-02-01
-4.872714490726098,2025-03-01
-3.2237221352203993,2025-04-01
-6.547949216442233,2025-05-01
-1.8734123431732677,2025-06-01
-0.8504743020166128,2025-07-01
0.25905341577739716,2025-08-01
12.482535502134102,2025-09-01
-5.286246181629981,2025-10-01
0.8181849093772371,2025-11-01
-5.13763070358422,2025-12-01
-9.262302461679994,2026-01-01
-10.601996400724397,2026-02-01
-10.157909302134778,2026-03-01
-8.214705146174254,2026-04-01
-7.211897250114836,2026-05-01
-6.258184900857131,2026-06-01
0.4466872120182046,2026-07-01
2.111552077908085,2026-08-01
-12.226149326532848,2026-09-01
0.01786618474862678,2026-10-01
-0.13327564817560322,2026-11-01
-4.303203465670418,2026-12-01
