¾çÃµ±¸,Date
11.442899448303628,2023-01-01
9.359429567309002,2023-02-01
8.093702818400413,2023-03-01
15.607508526247297,2023-04-01
10.363343138543545,2023-05-01
7.293672021497344,2023-06-01
14.520895601541822,2023-07-01
14.420591901792761,2023-08-01
11.70136185445944,2023-09-01
9.508653800548489,2023-10-01
6.185500917049925,2023-11-01
10.467730500842935,2023-12-01
14.405244720202594,2024-01-01
11.072653347540546,2024-02-01
11.481718037937144,2024-03-01
16.239246234117626,2024-04-01
9.836122223472952,2024-05-01
15.911731514490096,2024-06-01
12.843587290549221,2024-07-01
11.34923264043955,2024-08-01
7.149299140363995,2024-09-01
13.724942563632357,2024-10-01
12.94930343318216,2024-11-01
13.871506239105745,2024-12-01
9.168361586551462,2025-01-01
9.39769514957802,2025-02-01
11.551476322680774,2025-03-01
17.212249581052042,2025-04-01
11.221445320991108,2025-05-01
14.20728322866557,2025-06-01
14.524258309557785,2025-07-01
13.537534609062527,2025-08-01
9.890785157436323,2025-09-01
13.564197995367424,2025-10-01
11.875694762246937,2025-11-01
13.854217868059209,2025-12-01
12.060127228224356,2026-01-01
11.164243015650456,2026-02-01
11.603719689911077,2026-03-01
18.183464659390438,2026-04-01
12.578906916243694,2026-05-01
12.515509389047814,2026-06-01
16.265463126376986,2026-07-01
15.743920036613188,2026-08-01
12.59073727529605,2026-09-01
13.340096156119074,2026-10-01
10.801937906484275,2026-11-01
13.901130671333496,2026-12-01
