±¤Áø±¸,Date
21.221083384493372,2023-01-01
17.765103152431397,2023-02-01
2.9108505683884367,2023-03-01
15.085160279756055,2023-04-01
28.621970542986855,2023-05-01
36.07253116420699,2023-06-01
15.666241979536034,2023-07-01
13.865672855538559,2023-08-01
18.533350947071213,2023-09-01
32.49815152198096,2023-10-01
23.89762475894822,2023-11-01
6.834157190390215,2023-12-01
23.469985902554317,2024-01-01
23.479639496232043,2024-02-01
18.65696477120928,2024-03-01
21.233504635588808,2024-04-01
20.445619552315392,2024-05-01
22.041277438423517,2024-06-01
25.18743477107012,2024-07-01
35.31316078451726,2024-08-01
11.075432622756994,2024-09-01
18.88129538575042,2024-10-01
23.571266889779157,2024-11-01
24.758420242667935,2024-12-01
19.752948953206612,2025-01-01
8.836795210687537,2025-02-01
14.354715965227436,2025-03-01
19.96469820814368,2025-04-01
23.975308213250123,2025-05-01
27.701101038693487,2025-06-01
23.05428197918428,2025-07-01
28.97772678506631,2025-08-01
14.275596977992969,2025-09-01
24.338621001482448,2025-10-01
24.710271673997134,2025-11-01
19.656973024534775,2025-12-01
21.75869594376051,2026-01-01
14.659511291129695,2026-02-01
9.992750843167796,2026-03-01
18.802933590687065,2026-04-01
27.5908110212751,2026-05-01
33.26867070758703,2026-06-01
20.767669570492423,2026-07-01
22.714393693183204,2026-08-01
17.65090774974913,2026-09-01
29.768266057840645,2026-10-01
25.707724551063727,2026-11-01
14.56870509200551,2026-12-01
