¸¶Æ÷±¸,Date
19.712064343680208,2023-01-01
17.29662291493186,2023-02-01
-0.6611852490217309,2023-03-01
31.659556506921366,2023-04-01
15.688650935047187,2023-05-01
21.12627949499605,2023-06-01
16.524934377807874,2023-07-01
19.605389309877935,2023-08-01
16.746337304258727,2023-09-01
25.341032492176588,2023-10-01
12.875695384964342,2023-11-01
10.964217027904365,2023-12-01
23.308548181573293,2024-01-01
18.743928581399437,2024-02-01
29.233476224926562,2024-03-01
7.649881234401244,2024-04-01
14.95885564480973,2024-05-01
16.75502928797598,2024-06-01
21.086407997515714,2024-07-01
20.12625741502903,2024-08-01
3.5059167893978653,2024-09-01
16.5316766565748,2024-10-01
23.810165800537124,2024-11-01
18.47679243925289,2024-12-01
2.1285355130848203,2025-01-01
3.215656822665956,2025-02-01
15.669780494362332,2025-03-01
11.972068176545283,2025-04-01
11.70980961183992,2025-05-01
14.702662062981128,2025-06-01
16.01898082834854,2025-07-01
16.3169249836582,2025-08-01
4.327267736291345,2025-09-01
16.03444466328594,2025-10-01
16.681955084418856,2025-11-01
12.272023100153394,2025-12-01
5.545142223364824,2026-01-01
5.014516187507333,2026-02-01
2.149262825718738,2026-03-01
16.424738005355543,2026-04-01
8.40118702010309,2026-05-01
12.607487820860198,2026-06-01
10.945241063377306,2026-07-01
12.590751413886311,2026-08-01
5.189945518447871,2026-09-01
15.41929292144939,2026-10-01
9.482983960179734,2026-11-01
6.214449172386173,2026-12-01
