영등포구,Date
30.111129103501224,2023-01-01
23.834347112774672,2023-02-01
22.449699114015992,2023-03-01
31.88250415571495,2023-04-01
15.756775178300835,2023-05-01
42.62734116348426,2023-06-01
30.178769709087025,2023-07-01
42.42259762344922,2023-08-01
24.90054857270784,2023-09-01
40.96893034904629,2023-10-01
20.825753810707646,2023-11-01
16.402475940569133,2023-12-01
39.1688136972123,2024-01-01
28.52027498647879,2024-02-01
32.99671787400809,2024-03-01
29.790899504840112,2024-04-01
36.976493376625314,2024-05-01
28.05053138621173,2024-06-01
37.68196489700762,2024-07-01
37.06872143136746,2024-08-01
32.84531179273399,2024-09-01
29.743327293737813,2024-10-01
33.76381720827988,2024-11-01
37.74459739540947,2024-12-01
20.21185063476083,2025-01-01
21.99488023647134,2025-02-01
32.13787774251793,2025-03-01
33.13705632974579,2025-04-01
32.42998166914563,2025-05-01
35.427425187112725,2025-06-01
37.79567676876852,2025-07-01
41.46217404915454,2025-08-01
32.79169770988319,2025-09-01
36.147234160516284,2025-10-01
32.16701865796548,2025-11-01
33.07435180532622,2025-12-01
28.987038963131376,2026-01-01
26.85481541373212,2026-02-01
31.219972537297302,2026-03-01
36.43254047680728,2026-04-01
27.95341288885177,2026-05-01
42.88639977704988,2026-06-01
37.89325846481569,2026-07-01
45.846137124710644,2026-08-01
32.74191377689307,2026-09-01
42.488835901052575,2026-10-01
30.451281178344615,2026-11-01
28.556760110176338,2026-12-01
