°­ºÏ±¸,Date
13.454740374026326,2023-01-01
12.650032014817688,2023-02-01
1.059266897254954,2023-03-01
22.75202642742442,2023-04-01
14.154101377771568,2023-05-01
19.973160515625892,2023-06-01
22.247897944773165,2023-07-01
21.347638917976326,2023-08-01
17.701215613086877,2023-09-01
11.169586454552837,2023-10-01
15.004319163784846,2023-11-01
14.92850456794405,2023-12-01
15.926410647944417,2024-01-01
17.693756960167555,2024-02-01
17.526612553242543,2024-03-01
15.720945922704066,2024-04-01
21.480111514170442,2024-05-01
23.144719923047575,2024-06-01
17.486635777441258,2024-07-01
21.39286372788504,2024-08-01
18.21990247662113,2024-09-01
15.508056761362399,2024-10-01
21.13526932893545,2024-11-01
16.207592778054455,2024-12-01
14.223621266071827,2025-01-01
7.9493045420249935,2025-02-01
13.909374956077546,2025-03-01
19.89639057817467,2025-04-01
20.913136639176432,2025-05-01
23.893685449649144,2025-06-01
20.914220515492115,2025-07-01
23.268240602824548,2025-08-01
19.94469013832612,2025-09-01
15.948063251990991,2025-10-01
20.932583833921708,2025-11-01
17.585220992209184,2025-12-01
16.605348435990066,2026-01-01
13.11958565951265,2026-02-01
10.278243123856578,2026-03-01
24.100001019490556,2026-04-01
20.329998542983347,2026-05-01
24.695766508536668,2026-06-01
24.36161888188933,2026-07-01
25.11305895595789,2026-08-01
21.631340963882842,2026-09-01
16.360824471520775,2026-10-01
20.747662696406568,2026-11-01
19.01834353279438,2026-12-01
