¼ºµ¿±¸,Date
42.70226525565205,2023-01-01
39.07309237257769,2023-02-01
40.28756097957226,2023-03-01
26.210226932835113,2023-04-01
47.82413220036523,2023-05-01
49.85277748342371,2023-06-01
53.38162698932518,2023-07-01
55.53075086744508,2023-08-01
34.05305785474575,2023-09-01
55.8529413212937,2023-10-01
47.50003237222673,2023-11-01
30.023592381911495,2023-12-01
59.161139978382245,2024-01-01
55.23792912604018,2024-02-01
58.220100797688275,2024-03-01
60.96421391297468,2024-04-01
52.74638490480487,2024-05-01
59.1603526836092,2024-06-01
50.29169549940465,2024-07-01
56.49395936730552,2024-08-01
88.4927615146563,2024-09-01
50.80796485085181,2024-10-01
52.23469147488952,2024-11-01
58.07884384424626,2024-12-01
59.60765909310348,2025-01-01
56.045559405734465,2025-02-01
68.90349347383963,2025-03-01
65.83899388294643,2025-04-01
67.46144230447297,2025-05-01
72.48914748851853,2025-06-01
67.8606113049993,2025-07-01
72.94803753951547,2025-08-01
86.87611108545626,2025-09-01
68.8081321460462,2025-10-01
67.23149544115029,2025-11-01
65.19751472066345,2025-12-01
75.87129414977314,2026-01-01
72.36218226482498,2026-02-01
79.43556887894457,2026-03-01
70.76220440456652,2026-04-01
82.33203703310247,2026-05-01
85.89866743484805,2026-06-01
85.4039563096784,2026-07-01
89.13854278461058,2026-08-01
85.23573378256684,2026-09-01
87.00181453140885,2026-10-01
82.16510991025712,2026-11-01
72.35534892562853,2026-12-01
