µø¿€±∏,Date
9.130871355564375,2023-01-01
0.22010613973254678,2023-02-01
0.6229381429716918,2023-03-01
2.117472531488712,2023-04-01
12.774043164668306,2023-05-01
9.849867780247061,2023-06-01
8.687345334448775,2023-07-01
16.106226168765744,2023-08-01
2.162484551159193,2023-09-01
9.173859478535253,2023-10-01
8.442505194944237,2023-11-01
5.702002143935074,2023-12-01
6.687343015184559,2024-01-01
-3.0912395099722323,2024-02-01
-6.466960435564696,2024-03-01
1.8182630967168465,2024-04-01
11.593511100681699,2024-05-01
10.59288170072363,2024-06-01
0.65099737579893,2024-07-01
1.8390523294481116,2024-08-01
9.836468849443134,2024-09-01
2.3877230264901903,2024-10-01
4.209625641973668,2024-11-01
7.1207303683930405,2024-12-01
-0.4263825777145438,2025-01-01
-7.681565224210594,2025-02-01
-8.921559964107015,2025-03-01
-2.8940175609051555,2025-04-01
7.140155026263764,2025-05-01
5.451116657823331,2025-06-01
-1.5788232349282483,2025-07-01
1.8105584520993867,2025-08-01
2.4764079895617304,2025-09-01
-0.22950661560282493,2025-10-01
0.7927923268731738,2025-11-01
1.7807054077415532,2025-12-01
-2.937379503678368,2026-01-01
-11.00702319407669,2026-02-01
-11.406219261717945,2026-03-01
-7.64301893792445,2026-04-01
2.6847554663106257,2026-05-01
0.35455614425142024,2026-06-01
-3.7475982059020883,2026-07-01
1.7191278591171049,2026-08-01
-4.93096336786288,2026-09-01
-2.815733325117193,2026-10-01
-2.6446171706889836,2026-11-01
-3.5410893160588253,2026-12-01
