서대문구,Date
55.87199490740585,2023-01-01
45.239355537138294,2023-02-01
24.32896190674418,2023-03-01
46.80835855861413,2023-04-01
48.575591556425515,2023-05-01
23.904741277449833,2023-06-01
79.96487058148443,2023-07-01
54.96977444897962,2023-08-01
32.953796640041205,2023-09-01
48.15649179933064,2023-10-01
53.62543804462227,2023-11-01
41.71743977026857,2023-12-01
76.58785803661095,2024-01-01
63.944124990177514,2024-02-01
64.48858383310707,2024-03-01
53.38223914469317,2024-04-01
60.87434263786427,2024-05-01
62.44450196118662,2024-06-01
54.814148595365445,2024-07-01
66.48371322426719,2024-08-01
66.16789966225325,2024-09-01
64.72447887391674,2024-10-01
60.90201476953757,2024-11-01
71.94822353690442,2024-12-01
69.50322248152803,2025-01-01
62.04131577177996,2025-02-01
69.39088783053064,2025-03-01
69.34725139743287,2025-04-01
75.07445254095161,2025-05-01
67.66737677811585,2025-06-01
81.37122386437883,2025-07-01
81.14905808476567,2025-08-01
73.4249767000752,2025-09-01
77.35804720128293,2025-10-01
76.71789438283582,2025-11-01
80.01060407311851,2025-12-01
89.999965216929,2026-01-01
81.09522059588427,2026-02-01
74.24745425276569,2026-03-01
85.40209034549954,2026-04-01
89.22059807968603,2026-05-01
73.06495333307078,2026-06-01
108.0054725875691,2026-07-01
95.55806279725891,2026-08-01
80.59722768454637,2026-09-01
90.080611331708,2026-10-01
92.53865876255382,2026-11-01
88.17863487864494,2026-12-01
