°ü¾Ç±¸,Date
28.942898019727625,2023-01-01
21.522034530982488,2023-02-01
21.63935822535894,2023-03-01
25.354469805760285,2023-04-01
15.631233999857647,2023-05-01
18.362760748833036,2023-06-01
29.068215613874578,2023-07-01
44.70101124163603,2023-08-01
35.10633415675975,2023-09-01
30.618344743452315,2023-10-01
28.339055135830176,2023-11-01
15.295379368277757,2023-12-01
34.52788583328498,2024-01-01
24.496462057802663,2024-02-01
26.02284671228846,2024-03-01
17.680312216635663,2024-04-01
20.5062458903923,2024-05-01
31.71809170738079,2024-06-01
35.006242433924086,2024-07-01
28.136388192109443,2024-08-01
18.779170557123532,2024-09-01
29.374388413995256,2024-10-01
41.04484103147957,2024-11-01
38.39071332246966,2024-12-01
15.749581178881591,2025-01-01
12.858546409480766,2025-02-01
23.742730231137763,2025-03-01
19.421645916925065,2025-04-01
18.108603468849523,2025-05-01
26.37993290265559,2025-06-01
31.975038933753886,2025-07-01
32.65820459915769,2025-08-01
23.42585097412614,2025-09-01
29.11265804315556,2025-10-01
36.06956438770062,2025-11-01
29.651544653297208,2025-12-01
20.939525154018643,2026-01-01
15.898691328315188,2026-02-01
21.410453073667703,2026-03-01
21.1092562572738,2026-04-01
15.611444480905709,2026-05-01
21.05484572555403,2026-06-01
29.123983758370073,2026-07-01
37.311158135387075,2026-08-01
27.99991188000981,2026-09-01
28.656343399575153,2026-10-01
30.960754951100615,2026-11-01
21.07902362347363,2026-12-01
