±¸·Î±¸,Date
20.32975227463423,2023-01-01
9.677301519226576,2023-02-01
14.242570863788487,2023-03-01
15.27578125900359,2023-04-01
16.846878313394974,2023-05-01
26.751181461429198,2023-06-01
24.83909695123054,2023-07-01
27.015951141602752,2023-08-01
19.1026185417713,2023-09-01
19.085754673702784,2023-10-01
33.5402344016403,2023-11-01
8.248110155724424,2023-12-01
26.255875520545278,2024-01-01
11.903638797227133,2024-02-01
21.1913878725574,2024-03-01
19.724822766119335,2024-04-01
17.947115093408964,2024-05-01
22.435392756363168,2024-06-01
31.387487358833635,2024-07-01
24.307200247475663,2024-08-01
24.24481038069102,2024-09-01
25.840354941188302,2024-10-01
24.044452308290936,2024-11-01
24.739206831187452,2024-12-01
15.97706115174608,2025-01-01
12.392677302218488,2025-02-01
21.345468904018244,2025-03-01
20.660132480772003,2025-04-01
19.98358642805418,2025-05-01
26.335017515413657,2025-06-01
31.66947524231429,2025-07-01
27.668540742114757,2025-08-01
25.01017796349895,2025-09-01
25.98791294150176,2025-10-01
29.68154868158157,2025-11-01
21.672233328538756,2025-12-01
21.799996219950625,2026-01-01
14.737582820892385,2026-02-01
21.47729117568902,2026-03-01
21.62546093018742,2026-04-01
22.065910626811228,2026-05-01
30.22320387119209,2026-06-01
31.93524738820964,2026-07-01
31.020625755469155,2026-08-01
25.744509796539294,2026-09-01
26.184812519368602,2026-10-01
35.29654010698326,2026-11-01
18.622845308387245,2026-12-01
