³ë¿ø±¸,Date
12.593462710542067,2023-01-01
13.470711378369717,2023-02-01
11.849306574584563,2023-03-01
6.96020945172528,2023-04-01
17.620716881761194,2023-05-01
23.909955167811642,2023-06-01
28.349519717131123,2023-07-01
16.492415522457225,2023-08-01
17.175205579072877,2023-09-01
18.598263214687982,2023-10-01
24.980689523244845,2023-11-01
12.297058376137699,2023-12-01
14.13577218283958,2024-01-01
16.756113331187297,2024-02-01
10.828493143010004,2024-03-01
22.345228338452348,2024-04-01
20.135719311031963,2024-05-01
17.439432949949616,2024-06-01
21.08228619770067,2024-07-01
22.489024970151043,2024-08-01
25.730975832015147,2024-09-01
24.109842892471384,2024-10-01
16.358774380718234,2024-11-01
18.663844729942294,2024-12-01
15.453135467731737,2025-01-01
12.736464510994438,2025-02-01
13.200952604412715,2025-03-01
19.17491231685409,2025-04-01
21.129899342173683,2025-05-01
21.47890825137138,2025-06-01
25.520538891731793,2025-07-01
22.528882294547426,2025-08-01
24.83424274022483,2025-09-01
24.139304174095106,2025-10-01
21.159933500430135,2025-11-01
18.510111195854616,2025-12-01
16.92249559213473,2026-01-01
16.02002109693298,2026-02-01
15.486196835792034,2026-03-01
15.989780053132733,2026-04-01
22.23632436545319,2026-05-01
25.582051895383422,2026-06-01
29.88922968966861,2026-07-01
22.47449033585969,2026-08-01
23.926128251430608,2026-09-01
24.246642809696578,2026-10-01
25.97992568289629,2026-11-01
18.33255591255598,2026-12-01
