¼ººÏ±¸,Date
93.93017753979115,2023-01-01
43.2525222934448,2023-02-01
9.767837785160381,2023-03-01
82.5416608786654,2023-04-01
129.5513573256302,2023-05-01
194.10995140459838,2023-06-01
209.30790498246856,2023-07-01
263.26352377696367,2023-08-01
-200.40601832487505,2023-09-01
249.30313375417802,2023-10-01
274.32746494056164,2023-11-01
206.97262022104763,2023-12-01
37.581764132497185,2024-01-01
-22.76393549146723,2024-02-01
89.0571387985197,2024-03-01
70.0668948348885,2024-04-01
32.34945662582214,2024-05-01
20.191144795100247,2024-06-01
63.811820879661745,2024-07-01
12.332643657126269,2024-08-01
494.6851252499017,2024-09-01
3.845939559141801,2024-10-01
29.889294183780375,2024-11-01
25.91654846466885,2024-12-01
19.289994199467934,2025-01-01
-10.063245608263657,2025-02-01
1.3865078825206751,2025-03-01
12.090530069029018,2025-04-01
2.6978701906646148,2025-05-01
17.00412971670599,2025-06-01
52.47510136736632,2025-07-01
39.18987628673238,2025-08-01
202.40383824047004,2025-09-01
20.4833001522057,2025-10-01
49.69216216879205,2025-11-01
26.780735579727402,2025-12-01
-33.76306463849732,2026-01-01
-74.0979315059403,2026-02-01
-85.8624840064642,2026-03-01
-44.55704483747804,2026-04-01
-25.688016096609303,2026-05-01
14.203034952316578,2026-06-01
40.19779606854416,2026-07-01
62.04097076800924,2026-08-01
-90.1781255488561,2026-09-01
41.51503713325931,2026-10-01
70.40926412925498,2026-11-01
26.359468052565873,2026-12-01
