Á¾·Î,Date
208.37849485766088,2023-01-01
154.8830839713921,2023-02-01
99.72559416857376,2023-03-01
187.8763810414879,2023-04-01
235.83681821992204,2023-05-01
250.23686778252537,2023-06-01
224.4966730647062,2023-07-01
161.53725117231312,2023-08-01
111.40738109942808,2023-09-01
221.90859927330786,2023-10-01
325.5438134446277,2023-11-01
158.2755324953074,2023-12-01
212.01808448525142,2024-01-01
130.23618464451187,2024-02-01
224.90083372979558,2024-03-01
125.56782124766642,2024-04-01
158.26284184238307,2024-05-01
164.96113559484544,2024-06-01
184.36405658590135,2024-07-01
149.57173644084116,2024-08-01
293.1033172900776,2024-09-01
151.7362023100599,2024-10-01
143.66151913547225,2024-11-01
211.91344756992618,2024-12-01
111.38159513501301,2025-01-01
112.10778308361228,2025-02-01
153.05969846904824,2025-03-01
115.47758517452885,2025-04-01
154.0824942156289,2025-05-01
163.9659093585094,2025-06-01
168.84654828514505,2025-07-01
124.95631634988067,2025-08-01
202.50984352164863,2025-09-01
143.73174791721243,2025-10-01
174.66901248864585,2025-11-01
164.79649569702391,2025-12-01
115.43254479572704,2026-01-01
89.45009569201744,2026-02-01
81.61903495481366,2026-03-01
106.55277834732175,2026-04-01
150.25546426088044,2026-05-01
162.70651706855986,2026-06-01
152.5309338411226,2026-07-01
99.240668699629,2026-08-01
112.22182592599765,2026-09-01
137.43147509650208,2026-10-01
205.62062465145166,2026-11-01
117.21884748033034,2026-12-01
