°ü¾Ç,Date
113.38611367837228,2023-01-01
18.192149741635802,2023-02-01
-1.6099516170820607,2023-03-01
230.02995556573669,2023-04-01
323.2470922186229,2023-05-01
535.1914440720665,2023-06-01
598.4024584991197,2023-07-01
-628.0744518474692,2023-08-01
530.9397520282664,2023-09-01
343.57964853132296,2023-10-01
562.7841196030732,2023-11-01
233.97421861120407,2023-12-01
-64.22120451926486,2024-01-01
-191.10104923708536,2024-02-01
56.76868946446348,2024-03-01
30.753165513724355,2024-04-01
-18.35868453255587,2024-05-01
-96.42916410987465,2024-06-01
-81.58280967953266,2024-07-01
1486.2837359544042,2024-08-01
-267.5071688456368,2024-09-01
-54.592950499990934,2024-10-01
3.2292535804637623,2024-11-01
100.15918729526348,2024-12-01
-4.860327331412947,2025-01-01
-29.232388145599653,2025-02-01
-120.47099615505597,2025-03-01
-61.20306724260369,2025-04-01
-61.50873542871888,2025-05-01
-39.244038211284675,2025-06-01
2.664315944359849,2025-07-01
626.6663699835514,2025-08-01
-167.86210069583024,2025-09-01
-78.62260995211875,2025-10-01
36.54774738821902,2025-11-01
-5.59047168482418,2025-12-01
-176.3232477025353,2026-01-01
-237.32824852104014,2026-02-01
-294.7236904858818,2026-03-01
-149.52800655477552,2026-04-01
-102.34859392072106,2026-05-01
16.624463147642075,2026-06-01
74.57749358463397,2026-07-01
-233.13824842818377,2026-08-01
-56.45419225664918,2026-09-01
-100.5904410794946,2026-10-01
68.37691046830054,2026-11-01
-115.73967466583645,2026-12-01
