동대문구,Date
177.43365636937327,2023-01-01
92.71234421443235,2023-02-01
68.85213687494257,2023-03-01
133.5526409400014,2023-04-01
190.3392335544754,2023-05-01
171.0175485220294,2023-06-01
185.7508605220926,2023-07-01
121.23017178278828,2023-08-01
167.17613164620658,2023-09-01
123.61280132873497,2023-10-01
187.50504946762962,2023-11-01
104.35652727970972,2023-12-01
159.2037525959511,2024-01-01
66.82123443441712,2024-02-01
117.85209187494125,2024-03-01
111.38361267465848,2024-04-01
93.6770467452495,2024-05-01
115.93574348422065,2024-06-01
125.40963885470593,2024-07-01
135.0340643423469,2024-08-01
89.69728833469438,2024-09-01
118.97218372706939,2024-10-01
84.79112354715494,2024-11-01
149.08824768172673,2024-12-01
41.8262715520933,2025-01-01
-30.711480563322866,2025-02-01
43.94875964227867,2025-03-01
60.34487977757702,2025-04-01
67.82628281094782,2025-05-01
76.652655582961,2025-06-01
88.09062205398466,2025-07-01
72.64762678083474,2025-08-01
57.61844144911627,2025-09-01
62.59672770063567,2025-10-01
61.33590177271958,2025-11-01
76.20046819340662,2025-12-01
22.6931251168131,2026-01-01
-55.41191101252467,2026-02-01
-30.19947766581241,2026-03-01
9.927216501935241,2026-04-01
42.250788550922564,2026-05-01
37.21409176722886,2026-06-01
50.40220152857981,2026-07-01
10.237199696652805,2026-08-01
25.643049808088477,2026-09-01
6.337909120331165,2026-10-01
37.77487360191136,2026-11-01
3.4795315434073135,2026-12-01
